station,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,feel,date,time
EGAA,9.0,6.0,81.47,230.0,7.71666,0.0,0.747014,,6.21,,5.4,20220102,14:50
EGAA,9.0,6.0,81.47,230.0,7.71666,0.0,0.747014,,6.21,,5.4,20220102,15:20
EGAA,9.0,6.0,81.47,220.0,6.687772,0.0,0.747014,,6.21,,5.7,20220102,15:50
EGAA,9.0,6.0,81.47,220.0,5.6588840000000005,0.0,0.747014,,6.21,,6.1,20220102,16:20
EGAA,8.0,5.0,81.34,220.0,7.71666,0.0,0.747014,,6.21,,4.1,20220102,16:50
EGAA,8.0,6.0,87.19,220.0,6.687772,0.0,0.747776,,6.21,,4.5,20220102,17:20
EGAA,8.0,6.0,87.19,220.0,8.745548,0.0,0.747776,,6.21,,3.9,20220102,17:50
EGAA,9.0,6.0,81.47,230.0,7.202216,0.0,0.747776,,6.21,,5.6,20220102,18:20
EGAA,9.0,6.0,81.47,230.0,7.202216,0.0,0.747776,,6.21,,5.6,20220102,18:50
EGAA,9.0,6.0,81.47,230.0,7.202216,0.0,0.747776,,6.21,,5.6,20220102,19:20
EGAA,8.0,6.0,87.19,230.0,8.231104,0.0,0.747776,,6.21,,4.0,20220102,19:50
EGAA,8.0,5.0,81.34,230.0,7.202216,0.0,0.747776,,6.21,,4.3,20220102,20:20
EGAA,8.0,6.0,87.19,230.0,6.687772,0.0,0.747776,,6.21,,4.5,20220102,20:50
EGAA,8.0,6.0,87.19,230.0,7.71666,0.0,0.747776,,6.21,,4.1,20220102,21:20
EGAA,9.0,6.0,81.47,230.0,8.231104,0.0,0.747776,,6.21,,5.3,20220102,21:50
EGAA,9.0,6.0,81.47,230.0,8.231104,0.0,0.747776,,6.21,,5.3,20220102,22:20
EGAA,8.0,6.0,87.19,230.0,9.259992,0.0,0.7485379999999999,,6.21,,3.7,20220102,22:50
EGAA,9.0,6.0,81.47,230.0,8.231104,0.0,0.7485379999999999,,6.21,,5.3,20220102,23:20
EGAA,8.0,5.0,81.34,240.0,9.774436,0.0,0.7485379999999999,,6.21,,3.6,20220102,23:50
EGAA,8.0,5.0,81.34,230.0,9.259992,0.0,0.7485379999999999,,6.21,,3.7,20220103,00:20
EGAA,8.0,5.0,81.34,230.0,8.745548,0.0,0.7485379999999999,,6.21,,3.9,20220103,00:50
EGAA,8.0,5.0,81.34,230.0,8.231104,0.0,0.7485379999999999,,6.21,13.375544,4.0,20220103,01:20
EGAA,8.0,5.0,81.34,230.0,9.259992,0.0,0.7485379999999999,,6.21,,3.7,20220103,01:50
EGAA,8.0,5.0,81.34,230.0,8.231104,0.0,0.7485379999999999,,6.21,,4.0,20220103,02:20
EGAA,8.0,5.0,81.34,240.0,8.231104,0.0,0.7485379999999999,,6.21,,4.0,20220103,02:50
EGAA,8.0,6.0,87.19,230.0,7.202216,0.0,0.7485379999999999,,6.21,,4.3,20220103,03:20
EGAA,8.0,6.0,87.19,230.0,8.231104,0.0,0.747776,,6.21,,4.0,20220103,03:50
EGAA,8.0,6.0,87.19,240.0,7.71666,0.0,0.747776,,6.21,,4.1,20220103,04:20
EGAA,8.0,6.0,87.19,230.0,6.173328,0.0,0.747776,,6.21,,4.6,20220103,04:50
EGAA,8.0,6.0,87.19,230.0,7.71666,0.0,0.747776,,6.21,,4.1,20220103,05:20
EGAA,7.0,5.0,87.09,230.0,6.687772,0.0,0.747776,,6.21,,3.2,20220103,05:50
EGAA,7.0,5.0,87.09,230.0,7.202216,0.0,0.747776,,6.21,,3.0,20220103,06:20
EGAA,8.0,6.0,87.19,230.0,6.687772,0.0,0.747776,,6.21,,4.5,20220103,06:50
EGAA,8.0,6.0,87.19,240.0,6.173328,0.0,0.747776,,6.21,,4.6,20220103,07:20
EGAA,7.0,6.0,93.35,230.0,6.687772,0.0,0.747776,,6.21,,3.2,20220103,07:50
EGAA,7.0,6.0,93.35,230.0,7.202216,0.0,0.747776,,6.21,,3.0,20220103,08:20
EGAA,7.0,5.0,87.09,230.0,7.202216,0.0,0.747776,,6.21,,3.0,20220103,08:50
EGAA,7.0,6.0,93.35,230.0,7.71666,0.0,0.747776,,6.21,,2.8,20220103,09:20
EGAA,7.0,5.0,87.09,230.0,7.202216,0.0,0.7485379999999999,,6.21,,3.0,20220103,09:50
EGAA,7.0,5.0,87.09,230.0,6.687772,0.0,0.7485379999999999,,6.21,,3.2,20220103,10:20
EGAA,8.0,6.0,87.19,240.0,7.202216,0.0,0.7485379999999999,,6.21,,4.3,20220103,10:50
EGAA,8.0,6.0,87.19,240.0,7.202216,0.0,0.7485379999999999,,6.21,,4.3,20220103,11:20
EGAA,8.0,6.0,87.19,240.0,6.687772,0.0,0.7485379999999999,,6.21,,4.5,20220103,11:50
